,shooting_rank,shooting_team,shooting_games,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_,shooting_dunks_fga_pct,shooting_dunks_made,shooting_,shooting_layups_fga_pct,shooting_layups_made,shooting_,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_,shooting_heaves_attempted,shooting_heaves_made
276,12,Indiana Pacers,72,17455,.474,13.2,,.628,.316,.176,.081,.054,.372,,.540,.655,.414,.445,.417,.364,,.535,.880,,.033,198,,.341,1301,,.210,.421,,6,0
277,13,Los Angeles Clippers*,72,17280,.482,14.8,,.600,.219,.164,.121,.095,.400,,.529,.688,.432,.446,.439,.411,,.454,.834,,.060,326,,.210,734,,.271,.472,,13,1
278,14,Los Angeles Lakers*,72,17455,.472,13.5,,.637,.288,.167,.105,.077,.363,,.539,.701,.434,.403,.350,.354,,.506,.877,,.065,344,,.282,1046,,.250,.367,,10,0
279,15,Memphis Grizzlies*,72,17405,.467,13.0,,.658,.251,.221,.141,.046,.342,,.525,.661,.443,.453,.393,.356,,.543,.872,,.051,297,,.261,959,,.258,.377,,4,0
280,16,Miami Heat*,72,17380,.468,14.8,,.568,.247,.161,.096,.064,.432,,.553,.719,.437,.427,.391,.358,,.562,.893,,.057,309,,.255,910,,.239,.361,,14,0
281,17,Milwaukee Bucks*,72,17330,.487,14.6,,.596,.255,.155,.104,.082,.404,,.554,.717,.419,.457,.426,.389,,.468,.782,,.059,348,,.260,1001,,.211,.407,,9,0
282,18,Minnesota Timberwolves,72,17405,.448,13.7,,.587,.299,.172,.061,.054,.413,,.518,.650,.391,.363,.362,.349,,.532,.835,,.059,329,,.311,1098,,.208,.362,,8,0
283,19,New Orleans Pelicans,72,17430,.477,12.6,,.658,.336,.165,.087,.071,.342,,.544,.660,.413,.414,.457,.348,,.526,.871,,.060,348,,.345,1230,,.237,.345,,17,3
284,20,New York Knicks*,72,17430,.456,13.5,,.653,.254,.190,.118,.091,.347,,.490,.637,.385,.407,.411,.392,,.416,.842,,.054,300,,.262,829,,.283,.426,,5,0
285,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
286,21,Oklahoma City Thunder,72,17355,.441,13.7,,.601,.278,.200,.074,.050,.399,,.509,.635,.401,.410,.381,.339,,.455,.824,,.048,275,,.314,1031,,.188,.375,,16,1
287,22,Orlando Magic,72,17330,.429,14.4,,.644,.201,.212,.121,.109,.356,,.476,.652,.386,.424,.388,.343,,.469,.827,,.036,197,,.258,838,,.150,.359,,10,0
288,23,Philadelphia 76ers*,72,17430,.476,13.7,,.653,.241,.203,.117,.092,.347,,.531,.672,.436,.479,.438,.374,,.452,.894,,.056,321,,.244,819,,.261,.417,,9,0
289,24,Phoenix Suns*,72,17480,.490,14.9,,.608,.211,.158,.148,.091,.392,,.563,.718,.470,.509,.454,.378,,.524,.849,,.039,232,,.215,843,,.265,.430,,11,0
290,25,Portland Trail Blazers*,72,17305,.453,15.6,,.552,.244,.133,.085,.089,.448,,.509,.637,.378,.439,.422,.385,,.405,.693,,.033,183,,.254,937,,.159,.393,,10,0
291,26,Sacramento Kings,72,17305,.481,13.6,,.624,.249,.213,.106,.056,.376,,.551,.717,.432,.479,.400,.364,,.516,.805,,.062,359,,.260,931,,.212,.422,,12,0
292,27,San Antonio Spurs,72,17480,.462,13.3,,.686,.240,.199,.142,.105,.314,,.514,.658,.435,.433,.444,.350,,.492,.877,,.035,204,,.281,1019,,.200,.377,,5,0
293,28,Toronto Raptors,72,17305,.448,14.9,,.556,.236,.194,.065,.061,.444,,.512,.662,.407,.409,.375,.368,,.483,.822,,.051,280,,.286,969,,.225,.388,,11,0
294,29,Utah Jazz*,72,17355,.468,15.5,,.512,.207,.201,.069,.035,.488,,.544,.703,.443,.448,.372,.389,,.444,.763,,.058,325,,.225,786,,.254,.408,,13,0
295,30,Washington Wizards*,72,17405,.475,13.6,,.681,.199,.268,.101,.114,.319,,.533,.695,.515,.408,.402,.351,,.501,.880,,.055,320,,.299,1074,,.231,.369,,9,0
296,,League Average,72,17381,.466,14.1,,.608,.254,.186,.096,.072,.392,,.530,.675,.428,.435,.409,.367,,.502,.826,,.054,303,,.272,960,,.222,.395,,10.5,0.3
297,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
298,1,Atlanta Hawks*,82,19705,.470,14.5,,.610,.246,.164,.111,.089,.390,,.531,.669,.437,.444,.429,.374,,.529,.735,,.060,401,,.233,916,,.221,.426,,14,1
299,2,Boston Celtics*,82,19905,.466,14.8,,.575,.218,.203,.082,.073,.425,,.547,.739,.450,.411,.398,.356,,.512,.813,,.058,370,,.276,1147,,.231,.389,,10,0
300,3,Brooklyn Nets*,82,19755,.475,13.9,,.641,.245,.166,.136,.094,.359,,.538,.659,.447,.475,.478,.361,,.541,.764,,.053,338,,.251,982,,.235,.393,,7,0
301,4,Chicago Bulls*,82,19730,.480,13.8,,.668,.259,.151,.127,.131,.332,,.535,.677,.452,.450,.435,.369,,.476,.852,,.050,321,,.247,1019,,.273,.418,,18,1
302,5,Charlotte Hornets,82,19880,.468,13.9,,.582,.290,.177,.069,.047,.418,,.542,.690,.385,.402,.419,.365,,.559,.857,,.079,531,,.285,1141,,.287,.372,,20,0
303,6,Cleveland Cavaliers,82,19730,.469,13.7,,.613,.284,.182,.091,.056,.387,,.541,.697,.402,.426,.391,.355,,.556,.822,,.080,501,,.243,944,,.235,.332,,9,1
304,7,Dallas Mavericks*,82,19755,.461,15.3,,.561,.206,.176,.108,.071,.439,,.548,.736,.450,.452,.395,.350,,.502,.783,,.059,357,,.208,874,,.262,.398,,15,0
305,8,Denver Nuggets*,82,19805,.483,14.4,,.584,.236,.204,.073,.071,.416,,.575,.744,.480,.439,.427,.353,,.584,.857,,.059,373,,.266,1128,,.265,.384,,24,0
306,9,Detroit Pistons,82,19780,.431,14.0,,.609,.247,.209,.081,.073,.391,,.498,.645,.422,.354,.376,.326,,.498,.893,,.039,257,,.304,1187,,.267,.361,,20,0
307,10,Golden State Warriors*,82,19730,.469,15.5,,.544,.205,.201,.070,.068,.456,,.557,.711,.510,.408,.382,.364,,.595,.804,,.057,371,,.282,1193,,.215,.339,,24,1
308,11,Houston Rockets,82,19755,.456,14.2,,.552,.299,.181,.038,.034,.448,,.543,.689,.384,.322,.347,.349,,.502,.784,,.089,547,,.299,1142,,.173,.350,,18,0
309,12,Indiana Pacers,82,19880,.463,14.1,,.605,.265,.177,.093,.069,.395,,.541,.675,.458,.419,.403,.344,,.510,.860,,.045,294,,.303,1307,,.253,.377,,25,0
310,13,Los Angeles Clippers,82,19780,.458,14.9,,.609,.208,.183,.118,.100,.391,,.512,.691,.449,.436,.349,.374,,.503,.805,,.053,324,,.211,833,,.214,.410,,17,0
311,14,Los Angeles Lakers,82,19980,.469,14.0,,.612,.277,.162,.087,.085,.388,,.546,.710,.420,.409,.395,.347,,.476,.825,,.062,403,,.310,1326,,.229,.372,,5,0
312,15,Memphis Grizzlies*,82,19780,.461,12.9,,.654,.263,.235,.111,.045,.346,,.519,.674,.423,.410,.382,.353,,.504,.854,,.056,384,,.272,1165,,.231,.368,,14,0
313,16,Miami Heat*,82,19855,.467,14.9,,.578,.224,.182,.107,.065,.422,,.531,.695,.434,.438,.386,.379,,.537,.849,,.049,304,,.236,941,,.296,.418,,23,0
314,17,Milwaukee Bucks*,82,19755,.468,15.1,,.570,.236,.161,.103,.070,.430,,.544,.717,.420,.446,.395,.366,,.461,.789,,.049,317,,.251,1080,,.241,.393,,11,0
315,18,Minnesota Timberwolves*,82,19780,.457,14.5,,.546,.267,.173,.059,.047,.454,,.540,.677,.413,.432,.366,.358,,.519,.797,,.066,429,,.278,1136,,.223,.394,,19,0
316,19,New Orleans Pelicans*,82,19755,.457,13.6,,.635,.266,.189,.100,.081,.365,,.528,.668,.427,.458,.394,.332,,.531,.873,,.055,354,,.290,1118,,.240,.369,,18,2
317,20,New York Knicks,82,19780,.437,14.7,,.572,.253,.158,.086,.074,.428,,.497,.654,.374,.376,.361,.357,,.465,.795,,.069,431,,.238,858,,.219,.392,,7,0
318,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
319,21,Oklahoma City Thunder,82,19805,.430,14.3,,.581,.205,.261,.073,.041,.419,,.507,.643,.444,.427,.366,.323,,.466,.828,,.052,325,,.320,1199,,.207,.349,,9,0
320,22,Orlando Magic,82,19780,.434,14.4,,.583,.223,.227,.069,.063,.417,,.507,.670,.425,.420,.329,.331,,.499,.880,,.061,384,,.268,1028,,.212,.385,,16,0
321,23,Philadelphia 76ers*,82,19805,.466,14.0,,.624,.240,.194,.119,.071,.376,,.527,.702,.414,.417,.431,.364,,.505,.835,,.050,315,,.249,982,,.244,.394,,12,0
322,24,Phoenix Suns*,82,19730,.485,14.2,,.646,.188,.222,.149,.088,.354,,.551,.709,.503,.497,.427,.364,,.552,.832,,.053,370,,.220,951,,.260,.390,,13,0
323,25,Portland Trail Blazers,82,19730,.442,14.6,,.578,.260,.173,.074,.071,.422,,.513,.630,.423,.421,.402,.346,,.500,.787,,.047,293,,.274,1031,,.210,.368,,11,0
324,26,Sacramento Kings,82,19805,.460,13.9,,.623,.233,.219,.099,.072,.377,,.530,.698,.433,.423,.425,.344,,.498,.807,,.059,362,,.264,1079,,.219,.385,,13,1
325,27,San Antonio Spurs,82,19805,.467,13.4,,.655,.236,.226,.124,.069,.345,,.527,.674,.455,.441,.413,.352,,.551,.912,,.036,251,,.291,1254,,.230,.368,,14,1
326,28,Toronto Raptors*,82,19855,.445,14.3,,.625,.225,.209,.097,.095,.375,,.503,.653,.439,.426,.365,.349,,.434,.804,,.055,354,,.245,975,,.240,.400,,17,2
327,29,Utah Jazz*,82,19730,.471,15.1,,.532,.203,.235,.066,.029,.468,,.568,.729,.481,.458,.396,.360,,.454,.727,,.070,442,,.246,989,,.242,.383,,14,1
328,30,Washington Wizards,82,19830,.472,13.9,,.644,.226,.225,.107,.086,.356,,.543,.727,.456,.430,.426,.342,,.532,.860,,.065,408,,.280,1135,,.246,.397,,11,0
329,,League Average,82,19793,.461,14.3,,.601,.241,.194,.094,.071,.399,,.533,.687,.439,.431,.400,.354,,.512,.821,,.058,370,,.265,1069,,.237,.383,,14.9,0.4
330,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
331,1,Atlanta Hawks*,82,19855,.483,13.2,,.669,.250,.186,.133,.091,.331,,.548,.696,.440,.486,.439,.352,,.488,.755,,.064,450,,.242,1022,,.262,.364,,8,0
332,2,Boston Celtics*,82,19980,.475,15.3,,.520,.210,.192,.063,.048,.480,,.567,.732,.466,.463,.390,.377,,.509,.814,,.051,335,,.272,1166,,.223,.403,,12,0
333,3,Brooklyn Nets*,82,19730,.487,14.6,,.603,.222,.177,.122,.082,.397,,.559,.701,.459,.489,.494,.378,,.525,.820,,.059,373,,.222,891,,.243,.392,,6,0
334,4,Chicago Bulls,82,19905,.490,13.6,,.667,.281,.146,.116,.125,.333,,.555,.683,.474,.464,.446,.361,,.474,.886,,.054,329,,.273,1163,,.262,.397,,4,0
335,5,Charlotte Hornets,82,19830,.457,13.1,,.640,.287,.208,.087,.058,.360,,.528,.688,.384,.439,.385,.330,,.536,.817,,.073,482,,.287,1149,,.261,.354,,10,0
336,6,Cleveland Cavaliers*,82,19880,.488,13.2,,.629,.278,.196,.092,.054,.371,,.559,.717,.440,.450,.378,.367,,.545,.715,,.084,536,,.239,982,,.238,.367,,12,0
337,7,Dallas Mavericks,82,19930,.475,15.6,,.513,.218,.169,.080,.046,.487,,.574,.708,.499,.470,.396,.371,,.448,.776,,.050,304,,.226,937,,.271,.403,,26,1
338,8,Denver Nuggets*,82,19755,.504,13.2,,.639,.258,.213,.083,.077,.361,,.575,.758,.477,.401,.421,.379,,.597,.808,,.080,509,,.279,1188,,.251,.407,,27,2
339,9,Detroit Pistons,82,19805,.454,13.8,,.628,.217,.224,.111,.068,.372,,.516,.677,.431,.432,.413,.351,,.466,.832,,.060,396,,.249,942,,.264,.372,,13,0
340,10,Golden State Warriors*,82,19830,.479,16.0,,.521,.177,.210,.069,.065,.479,,.564,.710,.540,.407,.413,.385,,.606,.828,,.056,374,,.273,1213,,.199,.395,,23,1
341,11,Houston Rockets,82,19755,.457,13.0,,.641,.259,.262,.070,.049,.359,,.530,.678,.436,.448,.366,.327,,.477,.766,,.084,523,,.324,1229,,.173,.361,,14,0
342,12,Indiana Pacers,82,19755,.469,13.9,,.587,.266,.189,.080,.045,.413,,.540,.679,.425,.414,.402,.367,,.547,.817,,.048,323,,.306,1246,,.224,.386,,17,2
343,13,Los Angeles Clippers*,82,19830,.477,14.5,,.613,.221,.190,.110,.092,.387,,.539,.692,.475,.450,.408,.381,,.467,.838,,.063,391,,.234,918,,.249,.406,,16,1
344,14,Los Angeles Lakers*,82,19880,.482,13.2,,.649,.261,.214,.095,.079,.351,,.555,.728,.460,.425,.397,.346,,.502,.849,,.065,429,,.305,1315,,.238,.369,,8,0
345,15,Memphis Grizzlies*,82,19780,.475,13.0,,.628,.273,.224,.099,.033,.372,,.548,.688,.446,.447,.386,.351,,.504,.837,,.058,387,,.286,1250,,.245,.376,,15,1
346,16,Miami Heat*,82,19805,.460,14.5,,.592,.196,.217,.120,.052,.408,,.540,.683,.480,.471,.411,.344,,.511,.802,,.046,285,,.226,903,,.260,.367,,8,0
347,17,Milwaukee Bucks*,82,19830,.473,15.3,,.554,.236,.156,.091,.071,.446,,.557,.724,.443,.429,.417,.368,,.489,.819,,.052,351,,.250,1103,,.230,.379,,11,0
348,18,Minnesota Timberwolves*,82,19830,.490,13.2,,.619,.285,.208,.075,.051,.381,,.568,.723,.439,.451,.399,.365,,.539,.790,,.067,436,,.297,1256,,.241,.395,,20,0
349,19,New Orleans Pelicans,82,19855,.480,12.9,,.656,.255,.230,.099,.065,.344,,.541,.698,.444,.484,.343,.364,,.510,.883,,.063,402,,.289,1166,,.227,.364,,18,0
350,20,New York Knicks*,82,19955,.470,13.6,,.600,.266,.196,.096,.043,.400,,.547,.679,.460,.424,.404,.354,,.428,.820,,.066,425,,.246,1021,,.272,.382,,9,0
351,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
352,21,Oklahoma City Thunder,82,19855,.465,13.1,,.631,.276,.217,.096,.043,.369,,.530,.658,.413,.469,.424,.356,,.444,.879,,.047,320,,.325,1349,,.203,.400,,12,0
353,22,Orlando Magic,82,19780,.470,13.5,,.639,.249,.221,.094,.076,.361,,.539,.713,.440,.427,.398,.346,,.470,.858,,.064,395,,.297,1182,,.213,.415,,9,0
354,23,Philadelphia 76ers*,82,19880,.487,13.8,,.611,.251,.191,.109,.054,.389,,.551,.697,.429,.463,.472,.387,,.516,.806,,.044,262,,.274,1100,,.256,.402,,13,0
355,24,Phoenix Suns*,82,19780,.467,14.3,,.638,.194,.203,.159,.083,.362,,.520,.693,.442,.460,.424,.374,,.562,.856,,.047,306,,.205,847,,.291,.421,,13,0
356,25,Portland Trail Blazers,82,19730,.474,14.1,,.587,.288,.161,.069,.062,.413,,.550,.673,.434,.437,.414,.365,,.502,.774,,.058,357,,.276,1142,,.204,.362,,9,0
357,26,Sacramento Kings*,82,19830,.494,14.1,,.577,.243,.199,.080,.050,.423,,.586,.741,.488,.438,.450,.369,,.495,.875,,.059,380,,.261,1166,,.226,.397,,9,0
358,27,San Antonio Spurs,82,19855,.465,13.1,,.652,.258,.230,.112,.053,.348,,.529,.679,.442,.412,.425,.345,,.530,.924,,.040,265,,.303,1339,,.216,.367,,18,0
359,28,Toronto Raptors,82,19805,.459,13.4,,.649,.243,.220,.095,.084,.351,,.525,.694,.445,.406,.379,.335,,.474,.819,,.064,432,,.257,1082,,.264,.363,,22,0
360,29,Utah Jazz,82,19805,.473,14.2,,.579,.204,.266,.073,.036,.421,,.560,.708,.497,.438,.439,.353,,.500,.854,,.071,460,,.274,1144,,.220,.413,,16,0
361,30,Washington Wizards,82,19755,.485,14.0,,.635,.211,.244,.107,.073,.365,,.559,.760,.470,.460,.420,.356,,.508,.862,,.059,377,,.272,1118,,.215,.399,,16,2
362,,League Average,82,19826,.475,13.9,,.613,.245,.206,.096,.063,.387,,.548,.701,.454,.447,.414,.361,,.506,.825,,.060,386,,.269,1118,,.237,.387,,13.8,0.3
